Energy (keV),MAC
1.424442759,38824.46563
1.454878655,35732.61274
1.485964871,33233.34526
1.517715303,30928.82997
1.550144142,28171.70371
1.583265885,170967.6905
1.617095335,28816.53872
1.651647616,27138.1226
1.686938171,24873.94004
1.722982774,24377.92549
1.759797539,23319.40946
1.79739892,21639.26761
1.835803725,19756.23842
1.875029121,19141.35425
1.915092642,18733.37114
1.956012195,18367.43124
1.997806071,17723.63058
2.040492951,16681.40675
2.084091917,16032.01771
2.128622457,14504.35606
2.174104476,12916.97399
2.220558303,12227.66418
2.268004704,12057.62096
2.316464886,10188.47053
2.365960511,10168.92445
2.416513703,9252.298927
2.468147059,8433.417386
2.520883658,4056.398331
2.574747074,555.3034343
2.629761384,294.1684945
2.685951177,260.1344835
2.743341571,228.8216873
2.801958218,227.5596133
2.861827321,189.5625714
2.922975639,153.5853299
2.985430506,160.5214245
3.049219838,153.6781691
3.11437215,342.5668189
3.180916563,485.4096229
3.248882822,429.1007685
3.318301308,403.3759822
3.389203051,327.0807453
3.461619742,294.497636
3.535583753,250.9861386
3.611128143,213.8033735
3.688286681,188.9814822
3.767093856,198.2484645
3.847584895,167.4175786
3.929795776,134.1459427
4.013763247,127.0310917
4.099524841,127.6730099
4.187118892,118.2977296
4.276584555,93.18268366
4.36796182,85.22244552
4.461291532,70.49746828
4.556615408,50.94862079
4.653976058,50.64903321
4.753417002,39.4000096
4.854982688,43.57983113
4.958718516,36.42414684
5.064670854,34.62132393
5.172887064,32.71961324
5.283415516,27.56178359
5.396305616,24.90868035
5.511607825,22.27107083
5.629373683,18.52631178
5.749655829,18.01947829
5.87250803,15.71350578
5.997985199,15.71894143
6.126143423,14.11320549
6.257039988,11.49627819
6.390733405,10.87144067
6.527283432,9.904578461
6.666751108,8.630327895
6.809198772,8.377496492
6.954690099,6.317825568
7.103290121,7.177959958
7.255065261,10.94203829
7.410083363,57.32415202
7.568413718,56.36759159
7.730127098,57.60840009
7.895295789,56.88498326
8.063993619,53.32343028
8.236295995,49.72214945
8.412279935,42.4570313
8.592024103,37.35570039
8.775608842,34.51140872
8.963116215,37.42308875
9.154630035,34.94443407
9.350235907,34.04173493
9.550021267,25.61999106
9.754075416,24.60884621
9.962489565,25.70244503
10.17535687,25.48328998
10.39277249,19.02299261
10.61483361,19.02310594
10.84163947,17.76617239
11.07329147,29.1353685
11.30989315,203.560157
11.55155027,288.4052549
11.79837085,345.8534152
12.05046521,407.4536588
12.30794604,384.8556376
12.57092844,556.6015175
12.83952994,526.7995648
13.11387063,496.717419
13.39407311,175.0633711
13.68026265,109.8012402
13.97256717,123.4945965
14.27111732,105.8257693
14.57604656,142.6457292
14.88749118,126.7542753
15.20559041,119.8625956
15.53048642,133.6783705
15.86232444,146.1244054
16.20125281,122.5487692
16.54742302,123.7726805
16.9009898,109.5238024
17.26211121,132.1307235
17.63094865,113.3090696
18.007667,121.5297075
18.39243464,107.5994689
18.78542357,103.9127662
19.18680944,99.15163691
19.59677167,95.43503572
20.01549352,86.90098595
20.44316215,84.00795508
20.87996873,91.81281009
21.32610849,75.19786924
21.78178087,81.61340397
22.24718955,83.99860496
22.72254256,78.03869243
23.20805237,66.99898263
23.70393602,70.95099778
