Run Number,Hits,Average Energy
353,9916,10.811089490265575
354,9934,11.033758883511885
355,9944,11.267203575130713
356,9943,11.527655973026187
357,9934,11.766367996046775
358,9915,12.02079838142675
359,9921,12.277708996771265
36,3980,0.01331909999999892
360,9884,12.528755533089825
361,9881,12.810645081571408
362,9880,13.080948647891883
363,9882,13.366259416095623
364,9886,13.64029318131444
365,9855,13.943734970238465
366,9887,14.229475865242154
367,9841,14.529050420527286
368,9852,14.854756664056575
369,9864,15.167804051079939
37,4077,0.01360218327201299
370,9851,15.483431208573885
371,9837,15.810183807916083
372,9854,16.171527241016232
373,9857,16.50930727688608
374,9872,16.868856327611628
375,9847,17.22039782465863
376,9870,17.5920011563141
377,9874,17.940687070616825
378,9881,18.345510086903566
379,9884,18.74113439408229
38,4167,0.01389429999999879
380,9897,19.128722008698833
381,9900,19.541324888231035
382,9909,19.963720966396348
383,9904,20.408546529582605
384,9906,20.818457950488632
385,9923,21.274520980174866
386,9912,21.734373068012484
387,9923,22.16702168222342
388,9920,22.66573797785387
389,9939,23.140240660542993
39,4316,0.01419119999999942
390,9934,23.63395863149928
391,9932,24.152860251533113
392,9949,24.66258951779354
393,9939,25.185096981362914
394,9938,25.726445355982516
395,9935,26.27198727886097
396,9923,26.84994425071222
397,9945,27.378099342941503
398,9962,27.982502785334333
399,9939,28.595876429002832
4,1629,0.006771069999999846
40,4407,0.014494399999998447
400,9948,29.1960017107236
401,9957,29.819921964847993
402,9940,30.463317484289888
403,9927,31.124507385755628
404,9953,31.774081964162495
405,9938,32.481830109783125
406,9934,33.137399539196615
407,9925,33.87724867461358
408,9922,34.592940173006795
409,9937,35.35148046696214
41,4406,0.014802707784838305
410,9926,36.07139222787316
411,9917,36.83828336132716
412,9927,37.60366482098269
413,9932,38.41283764993314
414,9920,39.24916999159319
415,9924,40.093812056607824
416,9922,40.95454553230271
417,9918,41.781630347763354
418,9922,42.676093240902574
419,9899,43.62890263793769
42,4453,0.015120400000000598
420,9907,44.54953661313942
421,9916,45.506544561132465
422,9903,46.432674890129405
423,9924,47.438150694426774
424,9914,48.45702768049018
425,9910,49.52103188379206
426,9912,50.55792637106679
427,9912,51.570052350143854
428,9910,52.733198623643666
429,9921,53.84624118398787
43,4492,0.015443500000001857
430,9919,54.950753936936884
431,9914,56.174690664661156
432,9921,57.324827770851485
433,9919,58.585512197479346
434,9937,59.84968959820058
435,9928,61.11941121460879
436,9926,62.4263272236499
437,9932,63.70196046048864
438,9935,65.06722022331354
439,9934,66.43580836667816
44,4429,0.01577350000000066
440,9926,67.85758522982493
441,9946,69.36539601355312
442,9945,70.86489179060443
443,9949,72.42077232211186
444,9941,73.89713332842955
445,9941,75.44204250118945
446,9945,77.09267787680272
447,9950,78.62856072187554
448,9914,80.4439793530059
449,9925,82.11707826554807
45,4307,0.01611050000000128
450,9937,83.81278782615658
451,9915,85.70467265900439
452,9924,87.54518683575111
453,9913,89.38904903978464
454,9923,91.38991641704386
455,9923,93.3853791555841
456,9893,95.37521497218613
457,9921,97.33449784239346
458,9919,99.42120858691933
459,9902,101.5663834310609
46,4313,0.016454800000000113
460,9907,103.77361375429972
461,9896,105.91162875385585
462,9877,108.17313099866956
463,9911,110.44524304486907
464,9877,112.85896446714182
465,9897,115.20723936514369
466,9895,117.63808353405122
467,9878,120.01734906579138
468,9885,122.7533381380818
469,9877,125.32170794394727
47,4151,0.016806299999999254
470,9872,128.0535132162835
471,9882,130.75339671133847
472,9849,133.60394238084646
473,9868,136.4496088584918
474,9879,139.43358808069453
475,9878,142.39460434274454
476,9858,145.47050837252775
477,9849,148.44903798473845
478,9854,151.77595082498738
479,9841,154.9138355116621
48,4142,0.01716540000000093
480,9842,158.04761517180285
481,9851,161.55110914468383
482,9830,164.97108676077107
483,9859,168.33934781752455
484,9856,171.9970812743606
485,9836,175.55784992315222
486,9846,179.47207391589274
487,9848,183.41750584156634
488,9844,187.04001577366202
489,9826,191.12338248182425
49,3936,0.01753219999999976
