File,Entries,Mean,Max Energy,E0,Thickness (m),Energy P,HITS P,Intensity,Coeff
E264.root,1756,0.115562,0.115562,0.1155622,2.80E-07,1.000001731,0.1756,0.175600304,6.21E+06
E276.root,1694,0.11614,0.11614,0.11614001,2.80E-07,1.000000086,0.1694,0.169400015,6.34E+06
E287.root,1726,0.116721,0.116721,0.11672071,2.80E-07,0.999997515,0.1726,0.172599571,6.27E+06
E298.root,1625,0.117304,0.117304,0.11730431,2.80E-07,1.000002643,0.1625,0.162500429,6.49E+06
E309.root,1666,0.117891,0.117891,0.11789083,2.80E-07,0.999998558,0.1666,0.16659976,6.40E+06
E320.root,1639,0.11848,0.11848,0.11848029,2.80E-07,1.000002448,0.1639,0.163900401,6.46E+06
E331.root,1609,0.119073,0.119073,0.11907269,2.80E-07,0.999997397,0.1609,0.160899581,6.52E+06
E342.root,1610,0.119668,0.119668,0.11966805,2.80E-07,1.000000418,0.161,0.161000067,6.52E+06
E353.root,1623,0.120266,0.120266,0.12026639,2.80E-07,1.000003243,0.1623,0.162300526,6.49E+06
E364.root,1514,0.120868,0.120868,0.12086772,2.80E-07,0.999997683,0.1514,0.151399649,6.74E+06
E375.root,1519,0.121472,0.121472,0.12147206,2.80E-07,1.000000494,0.1519,0.151900075,6.73E+06
E387.root,1507,0.122079,0.122079,0.12207942,2.80E-07,1.00000344,0.1507,0.150700518,6.76E+06
E398.root,1459,0.12269,0.12269,0.12268982,2.80E-07,0.999998533,0.1459,0.145899786,6.87E+06
E409.root,1440,0.123303,0.123303,0.12330327,2.80E-07,1.00000219,0.144,0.144000315,6.92E+06
E420.root,1486,0.12392,0.12392,0.12391979,2.80E-07,0.999998305,0.1486,0.148599748,6.81E+06
E431.root,1387,0.124539,0.124539,0.12453939,2.80E-07,1.000003132,0.1387,0.138700434,7.06E+06
E442.root,1400,0.125162,0.125162,0.12516208,2.80E-07,1.000000639,0.14,0.140000089,7.02E+06
E444.root,1426,0.125788,0.125788,0.12578789,2.80E-07,0.999999126,0.1426,0.142599875,6.96E+06
E445.root,1424,0.126417,0.126417,0.12641683,2.80E-07,0.999998655,0.1424,0.142399809,6.96E+06
E446.root,1404,0.127049,0.127049,0.12704892,2.80E-07,0.99999937,0.1404,0.140399912,7.01E+06
E447.root,1351,0.127684,0.127684,0.12768416,2.80E-07,1.000001253,0.1351,0.135100169,7.15E+06
E449.root,1380,0.128323,0.128323,0.12832258,2.80E-07,0.999996727,0.138,0.137999548,7.07E+06
E450.root,1332,0.128964,0.128964,0.12896419,2.80E-07,1.000001473,0.1332,0.133200196,7.20E+06
E451.root,1324,0.129609,0.129609,0.12960902,2.80E-07,1.000000154,0.1324,0.13240002,7.22E+06
E452.root,1307,0.130257,0.130257,0.13025706,2.80E-07,1.000000461,0.1307,0.13070006,7.27E+06
E453.root,1331,0.130908,0.130908,0.13090835,2.80E-07,1.000002674,0.1331,0.133100356,7.20E+06
E454.root,1291,0.131563,0.131563,0.13156289,2.80E-07,0.999999164,0.1291,0.129099892,7.31E+06
