File,Entries,Mean,Max Energy
E139.root,866,0.24176499999999526,0.241765
E14.root,38,0.03376800000000001,0.033768
E140.root,915,0.24297400000000224,0.24297400000000002
E141.root,915,0.24418800000000207,0.244188
E142.root,1910,0.1093930000000032,0.109393
E143.root,931,0.24521100000000426,0.245211
E144.root,915,0.24540899999999674,0.245409
E145.root,943,0.24558899999999695,0.245589
E146.root,925,0.2466359999999968,0.246636
E147.root,932,0.24787000000000414,0.24787
E148.root,840,0.24910900000000258,0.24910900000000002
E149.root,776,0.2503539999999965,0.25035399999999997
E15.root,40,0.034272000000000004,0.034272
E150.root,853,0.25160600000000277,0.25160600000000005
E151.root,822,0.2528639999999965,0.252864
E152.root,896,0.25412900000000416,0.25412899999999994
E153.root,1820,0.10993999999999673,0.10994000000000002
E154.root,845,0.2553990000000033,0.255399
E155.root,897,0.2566759999999989,0.256676
E156.root,919,0.2579599999999975,0.25796
E157.root,906,0.25859600000000404,0.258596
E158.root,873,0.25900400000000284,0.25900399999999996
E159.root,943,0.25924900000000417,0.259249
E16.root,50,0.03488800000000002,0.034888
E160.root,919,0.2605460000000035,0.260546
E161.root,816,0.26184799999999475,0.26184799999999997
E162.root,869,0.26315800000000267,0.263158
E163.root,832,0.2644730000000029,0.264473
E164.root,2230,0.10100299999999769,0.10100300000000001
E165.root,1870,0.11048999999999878,0.11049
E166.root,833,0.26579599999999654,0.265796
E167.root,886,0.2671249999999949,0.267125
E168.root,896,0.2684600000000031,0.26846
E169.root,902,0.26980299999999746,0.269803
E17.root,54,0.035422000000000016,0.035422
E170.root,941,0.27115200000000067,0.27115199999999995
E171.root,947,0.2725069999999961,0.272507
E172.root,929,0.27386999999999484,0.27387
E173.root,907,0.2752389999999992,0.27523899999999996
E174.root,930,0.27661599999999575,0.276616
E175.root,956,0.2779989999999968,0.277999
E176.root,1899,0.1110309194312777,0.111042
E177.root,934,0.2793890000000029,0.279389
E178.root,940,0.28078600000000364,0.280786
E179.root,953,0.282188999999996,0.28218899999999997
E18.root,50,0.035528500000000025,0.0355285
E180.root,1005,0.28360000000000246,0.2836
E181.root,981,0.28501800000000066,0.285018
E182.root,954,0.28644399999999687,0.28644400000000003
E183.root,1045,0.2878760000000014,0.287876
E184.root,1044,0.28931499999999355,0.289315
E185.root,1075,0.2907619999999957,0.290762
E186.root,1115,0.2922159999999973,0.292216
E187.root,1874,0.11159699999999723,0.111597
E188.root,1096,0.2936770000000021,0.293677
E189.root,1055,0.29514499999999555,0.295145
E19.root,70,0.03556440000000002,0.0355644
E190.root,1075,0.29662099999999875,0.296621
